external_case_id,category,criticality,title,machine_recommendation,risk_reasons,failed_checks,source_paths,case_sha256
KO-RAG-001,rag_single_document,critical,Gate와 운영 배포 구분,spot_check_required,critical_case,,EVALUATOR_GUIDE_KO.md,71a8d1a900880a2a4bd5e70f446428b47e8f5987cc37db970821babf41af4542
KO-RAG-002,rag_single_document,critical,Gate Preflight 목적,spot_check_required,critical_case | advisory:source_term_overlap,source_term_overlap,docs/deployment_gate.md,5c78b44cdc621c799b7769423e3436d6f38c8f047033b70b0612083e761ef33d
KO-RAG-003,rag_single_document,standard,모델 아티팩트 식별,spot_check_required,advisory:source_term_overlap,source_term_overlap,docs/model_validation.md,ce9497cf7434761d22e5c23de3477cf0edbedc4edb467397b54e7fec455a9715
KO-RAG-004,rag_single_document,standard,Tool 실행 경계,eligible_for_bulk_review,,,docs/tool_calling_evaluation.md,82eb380ef40ad832ec6d898bb79059a9471ddff2ab3dac449e33159d980a5e73
KO-RAG-005,rag_single_document,standard,RAG 인용 평가,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,docs/rag_evaluation.md,af9ba389282310789afb25d69702b55f98addd64d7b8de26e5530afe12530250
KO-RAG-006,rag_single_document,standard,반복 실행 신뢰성,eligible_for_bulk_review,,,docs/runtime_reliability.md,039625f22419565ca7eee5ebf6fef00a1a862e0f7d1bc7963d8110228eaf9345
KO-RAG-007,rag_single_document,standard,Agent 실행 한계,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,docs/agent_operations.md,880d61be44f6f65f7093b2a1ef3deb4e8d220df39d21182ec019b25db5569446
KO-RAG-008,rag_single_document,standard,Agent 복구 제한,eligible_for_bulk_review,,,docs/agent_recovery_and_approval.md,3d61bb9bb3efbfc663b413143db2acc9be8933dd6f8a70acd2772a1c24f199ee
KO-RAG-009,rag_single_document,standard,개발 서명 증거,eligible_for_bulk_review,,,docs/supply_chain_evidence.md,da13704beeefbadb868ffa5ea081bd4ed3d6fd6b20619ee5a260752239151f83
KO-RAG-010,rag_single_document,standard,격리 Preflight,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,docs/workload_isolation.md,291fa12da5969d1ba1b3b57d1ecc0f985241ce719e462d34b0d20d2683ea4bea
KO-RAG-011,rag_single_document,standard,SLO와 paging,eligible_for_bulk_review,,,docs/operational_slo_and_paging.md,4cbaf52c0434053fd2b0198db2f6e9c86ad33f981791996ffb0bdc0854a8b9ab
KO-RAG-012,rag_single_document,standard,브라우저 세션 폐기,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,docs/browser_session_administration.md,e8b885b6a1c9f9ed31086fc07dbbdbdcca98369f20cb90f64b18339eaea2e2b3
KO-RAG-MULTI-001,rag_multi_document,critical,승인 경로 종합,spot_check_required,critical_case,,EVALUATOR_GUIDE_KO.md | docs/deployment_gate.md,68a8290eac3da7b7b14380d2d5f23803feab2c94e84985e938f9b275be9d74e4
KO-RAG-MULTI-002,rag_multi_document,critical,모델 신원과 공급망,spot_check_required,critical_case | advisory:source_term_overlap,source_term_overlap,docs/model_validation.md | docs/supply_chain_evidence.md,dab3313c2f945dc88ed1e09d394de53d6aaeeb3a4941c96706b74ab9d74b3c16
KO-RAG-MULTI-003,rag_multi_document,critical,경보와 사고 대응,spot_check_required,critical_case,,docs/incident_response_and_burn_rate.md | docs/operational_slo_and_paging.md,e9238bd87152b8c1d5f6659d5d5f961d18ee0a5d799a4e7675d23f99113578b3
KO-RAG-MULTI-004,rag_multi_document,standard,Tool과 격리,spot_check_required,advisory:source_term_overlap,source_term_overlap,docs/tool_calling_evaluation.md | docs/workload_isolation.md,7df0482f4a526efddcea64f0b0746a21305435cbe48701da3e64aaba4d04a79c
KO-RAG-MULTI-005,rag_multi_document,standard,RAG와 Agent 결합,eligible_for_bulk_review,,,docs/agent_operations.md | docs/rag_evaluation.md,bcba27750d9674eadb032c857cef0a1b0f62d090fd829f428d9dae13a0c12909
KO-RAG-MULTI-006,rag_multi_document,standard,복구와 승인 checkpoint,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,docs/agent_operations.md | docs/agent_recovery_and_approval.md,f007823c4aa84996fe528dfbc851696dc1b67df1851dfa9a16b2975b7f6c4c9c
KO-RAG-MULTI-007,rag_multi_document,standard,데모와 실제 증거,eligible_for_bulk_review,,,docs/golden_demo.md | docs/model_validation.md,909dd8c7a312a7793bebb16b1fd8771361c4d38540aa53bb61e45458da0be9a7
KO-RAG-MULTI-008,rag_multi_document,standard,신뢰성과 Gate,eligible_for_bulk_review,,,docs/deployment_gate.md | docs/runtime_reliability.md,2bf1d6a1ccb8a3f14d272c746e16dc54a536ed06be42f8d33c4f14280e3dab61
KO-RAG-MULTI-009,rag_multi_document,standard,세션과 역할 권한,eligible_for_bulk_review,advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md | docs/browser_session_administration.md,88cabf8d75a1be5bd676bfe8ccf875111853fbe9d2a476d0333bdd5280b9638e
KO-RAG-MULTI-010,rag_multi_document,standard,로컬 근거의 한계,eligible_for_bulk_review,,,EVALUATOR_GUIDE_KO.md | docs/supply_chain_evidence.md,05ef7f3c4cb3de97ba8882b2bbfdd6e8475265787bee271148a3388362fc11b9
KO-RAG-SCOPE-001,rag_version_or_scope,critical,로컬 승인 해석,spot_check_required,critical_case,,EVALUATOR_GUIDE_KO.md,baba3733cd4938c3a5ae3285f6747b0ccbada69cf815f532b7a7e27d25bebdcb
KO-RAG-SCOPE-002,rag_version_or_scope,critical,추천 순위 해석,spot_check_required,critical_case | advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md,234c02f13ac0d37cae95754fd28a38b2dc360b840654af1df7c33c774f275e83
KO-RAG-SCOPE-003,rag_version_or_scope,critical,개발 trust root 해석,spot_check_required,critical_case | advisory:source_term_overlap,source_term_overlap,docs/supply_chain_evidence.md,497061b1d93f42e22382cafb2ecc7d9650360bfd1525ad984e23418a2ef189bc
KO-RAG-SCOPE-004,rag_version_or_scope,standard,fixture evidence 범위,eligible_for_bulk_review,,,docs/golden_demo.md,918f1aadba3c14afbc649b656367e52eee0d213a008c508c96c836e69d339218
KO-RAG-SCOPE-005,rag_version_or_scope,standard,Release Decision 범위,spot_check_required,advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md,2e392fe5468e5dead99e6267c8b78b9acc7d60c13333401ade3e8ff21fa166b2
KO-RAG-SCOPE-006,rag_version_or_scope,standard,생산 수집 근거,eligible_for_bulk_review,,,docs/supply_chain_evidence.md,c2c3afd345bc8bc2c101b38bba0b9c6fc4fa2b78b88cbdab894c74b43e702570
KO-REFUSE-001,insufficient_evidence_refusal,critical,최고 모델 단정 거부,spot_check_required,critical_case | high_risk_category:insufficient_evidence_refusal | advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md,83228474aca443eaae6f22833191dab256ab3be150302c011191eb47e2697831
KO-REFUSE-002,insufficient_evidence_refusal,critical,실제 운영 승인 거부,spot_check_required,critical_case | high_risk_category:insufficient_evidence_refusal,,EVALUATOR_GUIDE_KO.md,371bd9f9865e5debe83efd7650d7d5484b6ca5bb829583716592f758fbcd2b1d
KO-REFUSE-003,insufficient_evidence_refusal,critical,상용 paging 상태 거부,spot_check_required,critical_case | high_risk_category:insufficient_evidence_refusal,,EVALUATOR_GUIDE_KO.md,30361f825e290a72e5417b574404ec1b7da55acf7b74f7acdaaf81f5615ae522
KO-REFUSE-004,insufficient_evidence_refusal,critical,고객 PII 거부,spot_check_required,critical_case | high_risk_category:insufficient_evidence_refusal | advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md,623ef862cccb1dd757555f8b47c6d20a66283665cbcd52f2f3517e94b8008de4
KO-REFUSE-005,insufficient_evidence_refusal,standard,실시간 GPU 수치 거부,spot_check_required,high_risk_category:insufficient_evidence_refusal | advisory:source_term_overlap,source_term_overlap,docs/runtime_reliability.md,0e5a042e5d6c46abd7fd1f9a7bcbb9b41b357bb29c1ccd83ced8dd44976239bf
KO-REFUSE-006,insufficient_evidence_refusal,standard,외부 registry 상태 거부,eligible_for_bulk_review,high_risk_category:insufficient_evidence_refusal,,docs/supply_chain_evidence.md,7bcb7795df4a20a00f3308d531928d1a1de08f2fdf2e1c07f7b523f1f89a7142
